EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2020,N2030,N2040,N2050,N2060,N2070
1,ABILENE,MUNICIPAL,G,JONES,Y,27,161,292,541,689,861
1,ABILENE,MUNICIPAL,G,TAYLOR,Y,610,3616,6471,11992,15168,18910
2,AMARILLO,MUNICIPAL,A,POTTER,Y,0,3120,7572,12875,17665,21054
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,0,2550,6184,10540,14463,17216
7,AUSTIN,MUNICIPAL,K,HAYS,Y,0,0,0,0,0,0
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,0,0,0,0,0,8770
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,0,0,0,0,0,0
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,0,0,1248,3843,6357,9218
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,0,0,0,0,34,36
18,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,306,582,819,1071,1292,1429
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,0,0,32,50,62,17
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,0,0,2,2,3,10
23,CASH SUD,MUNICIPAL,D,HUNT,Y,0,366,963,1278,1264,611
23,CASH SUD,MUNICIPAL,D,RAINS,Y,0,0,12,16,17,57
24,CEDAR HILL,MUNICIPAL,C,DALLAS,Y,422,1093,2553,3790,4373,4821
24,CEDAR HILL,MUNICIPAL,C,ELLIS,Y,5,15,36,65,74,83
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,2887,4603,4759,4792,4775,4768
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,613,813,732,662,660,659
26,CENTER,MUNICIPAL,I,SHELBY,N,0,0,0,0,0,0
31,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,0,0,0,0,0,0
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,0,0,0,0,0,0
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,0,0,26,733,1537,2631
36,DALLAS,MUNICIPAL,C,COLLIN,Y,636,1375,2728,3718,4283,4724
36,DALLAS,MUNICIPAL,C,DALLAS,Y,10164,23309,52231,79754,99489,113717
36,DALLAS,MUNICIPAL,C,DENTON,Y,265,604,1344,2043,2541,2899
36,DALLAS,MUNICIPAL,C,ROCKWALL,Y,0,2,5,7,11,15
38,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,4423,4918,5419,5995,6598,7191
